Country,City,State,Latitude,Longitude
Germany,Berlin, Berlin,52.517,13.3889
Germany,Hamburg, Hamburg,53.5503,10.0007
Germany,Munich, Bavaria,48.1371,11.5754
Germany,Cologne, North Rhine-Westphalia,50.9384,6.96
Germany,Frankfurt, Hesse,50.1106,8.6821
Germany,Stuttgart, Baden-Württemberg,48.7784,9.18
Germany,Dusseldorf, North Rhine-Westphalia,51.2254,6.7763
Germany,Leipzig, Saxony,51.3406,12.3747
Germany,Dortmund, North Rhine-Westphalia,51.5142,7.4653
Germany,Essen, North Rhine-Westphalia,51.4582,7.0158
Germany,Bremen, Bremen,53.0758,8.8072
Germany,Dresden, Saxony,51.0493,13.7381
Germany,Hanover, Lower Saxony,52.3745,9.7386
Germany,Nuremberg, Bavaria,49.4539,11.0773
Germany,Duisburg, North Rhine-Westphalia,51.435,6.7596
Germany,Bochum, North Rhine-Westphalia,51.4818,7.2197
Germany,Wuppertal, North Rhine-Westphalia,51.264,7.178
Germany,Bielefeld, North Rhine-Westphalia,52.0191,8.531
Germany,Bonn, North Rhine-Westphalia,50.7359,7.1007
Germany,Münster, North Rhine-Westphalia,51.9625,7.6252
Germany,Mannheim, Baden-Württemberg,49.4893,8.4673
Germany,Karlsruhe, Baden-Württemberg,49.0069,8.4034
Germany,Augsburg, Bavaria,48.3668,10.8987
Germany,Wiesbaden, Hesse,50.082,8.2417
Germany,Mönchengladbach, North Rhine-Westphalia,51.1947,6.4354
Germany,Gelsenkirchen, North Rhine-Westphalia,51.511,7.096
Germany,Aachen, North Rhine-Westphalia,50.7764,6.0839
Germany,Brunswick, Lower Saxony,52.2647,10.5236
Germany,Kiel, Schleswig-Holstein,54.3227,10.1356
Germany,Chemnitz, Saxony,50.8323,12.9253
Germany,Halle (Saale), Saxony-Anhalt,51.4825,11.9705
Germany,Magdeburg, Saxony-Anhalt,52.1316,11.64
Germany,Freiburg im Breisgau, Baden-Württemberg,47.9961,7.8494
Germany,Krefeld, North Rhine-Westphalia,51.3331,6.5623
Germany,Mainz, Rhineland-Palatinate,50.0012,8.2763
Germany,Lübeck, Schleswig-Holstein,53.8664,10.6847
Germany,Erfurt, Thuringia,50.9778,11.0287
Germany,Oberhausen, North Rhine-Westphalia,51.4696,6.8514
Germany,Rostock, Mecklenburg-Vorpommern,54.0924,12.1286
Germany,Kassel, Hesse,51.3155,9.4924
Germany,Hagen, North Rhine-Westphalia,51.3583,7.4733
Germany,Potsdam, Brandenburg,52.4009,13.0591
Germany,Saarbrücken, Saarland,49.2344,6.9964
Germany,Hamm, North Rhine-Westphalia,51.6804,7.8152
Germany,Ludwigshafen am Rhein, Rhineland-Palatinate,49.4704,8.4382
Germany,Mülheim an der Ruhr, North Rhine-Westphalia,51.4273,6.8829
Germany,Oldenburg, Lower Saxony,53.139,8.2146
Germany,Osnabrück, Lower Saxony,52.272,8.0476
Germany,Leverkusen, North Rhine-Westphalia,51.0325,6.9881
Germany,Darmstadt, Hesse,49.8728,8.6512
Germany,Heidelberg, Baden-Württemberg,49.4094,8.6947
Germany,Solingen, North Rhine-Westphalia,51.1722,7.0846
Germany,Herne, North Rhine-Westphalia,51.538,7.22
Germany,Regensburg, Bavaria,49.0195,12.0975
Germany,Neuss, North Rhine-Westphalia,51.1982,6.6916
Germany,Paderborn, North Rhine-Westphalia,51.7177,8.7527
Germany,Ingolstadt, Bavaria,48.763,11.425
Germany,Offenbach am Main, Hesse,50.1055,8.7611
Germany,Fürth, Bavaria,49.4772,10.9894
Germany,Ulm, Baden-Württemberg,48.3974,9.9934
Germany,Würzburg, Bavaria,49.7925,9.933
Germany,Heilbronn, Baden-Württemberg,49.1423,9.2187
Germany,Pforzheim, Baden-Württemberg,48.8909,8.703
Germany,Wolfsburg, Lower Saxony,52.4206,10.7862
Germany,Bottrop, North Rhine-Westphalia,51.5216,6.9292
Germany,Göttingen, Lower Saxony,51.5328,9.9352
Germany,Reutlingen, Baden-Württemberg,48.4924,9.2089
Germany,Koblenz, Rhineland-Palatinate,50.3533,7.5944
Germany,Erlangen, Bavaria,49.5929,11.0056
Germany,Bremerhaven, Bremen,53.5505,8.5852
Germany,Remscheid, North Rhine-Westphalia,51.1799,7.1944
Germany,Burscheid, North Rhine-Westphalia,51.0825,7.1212
Germany,Herten, North Rhine-Westphalia,51.5942,7.1368
Germany,Trier, Rhineland-Palatinate,49.7596,6.6442
Germany,Jena, Thuringia,50.9282,11.5879
Germany,Moers, North Rhine-Westphalia,51.4513,6.6284
Germany,Salzgitter, Lower Saxony,52.1504,10.3593
Germany,Siegen, North Rhine-Westphalia,50.875,8.0227
Germany,Gütersloh, North Rhine-Westphalia,51.9064,8.3782
Germany,Hildesheim, Lower Saxony,52.1522,9.9513
